date,open,high,low,close
2009-09-14,3900.65,3916.7,3881.15,3908.95
2009-09-15,3939.65,3977.35,3938.6,3973.0
2009-09-16,4002.45,4022.95,3998.4,4019.3
2009-09-17,4042.05,4054.0,4006.15,4023.1
2009-09-18,4015.6,4047.65,4007.0,4045.25
2009-09-22,4058.6,4080.2,4051.7,4069.25
2009-09-23,4070.6,4078.95,4019.75,4028.3
2009-09-24,3991.05,4049.5,3984.2,4040.9
2009-09-25,4017.3,4065.6,4017.3,4041.35
2009-09-29,4078.3,4086.45,4064.9,4072.05
2009-09-30,4085.1,4119.9,4081.6,4118.65
2009-10-01,4128.5,4133.2,4102.4,4119.05
2009-10-05,4084.4,4095.65,4040.05,4046.7
2009-10-06,4065.45,4068.85,3971.95,4047.95
2009-10-07,4083.45,4096.75,4032.75,4042.95
2009-10-08,4074.75,4091.15,4044.95,4059.5
2009-10-09,4080.75,4085.9,4024.45,4029.55
2009-10-12,4045.8,4106.1,4045.8,4100.05
2009-10-14,4132.45,4163.75,4132.45,4159.6
2009-10-15,4186.65,4188.4,4146.45,4165.45
2009-10-16,4171.2,4198.2,4165.8,4194.95
2009-10-17,4215.75,4218.2,4194.15,4207.05
2009-10-20,4231.55,4239.95,4185.4,4193.2
2009-10-21,4189.8,4204.25,4144.6,4153.1
2009-10-22,4141.6,4158.3,4075.5,4089.8
2009-10-23,4140.8,4149.65,4095.7,4104.75
2009-10-26,4114.3,4119.1,4063.45,4067.75
2009-10-27,4035.8,4046.7,3948.4,3960.2
2009-10-28,3941.65,3979.4,3901.6,3949.3
2009-10-29,3885.0,3935.45,3873.8,3882.85
2009-10-30,3950.4,3963.05,3844.4,3853.15
2009-11-03,3837.0,3856.85,3717.65,3727.45
2009-11-04,3768.55,3846.05,3738.75,3836.2
2009-11-05,3833.8,3906.65,3793.05,3899.75
2009-11-06,3940.2,3975.05,3935.05,3950.45
2009-11-09,3976.5,4031.35,3955.25,4026.8
2009-11-10,4061.55,4080.05,4018.4,4034.7
2009-11-11,4043.2,4136.4,4038.7,4130.9
2009-11-12,4124.6,4140.55,4066.0,4084.1
2009-11-13,4078.95,4132.0,4078.95,4114.45
2009-11-16,4152.35,4172.5,4152.35,4162.25
2009-11-17,4158.9,4169.75,4127.4,4160.85
2009-11-18,4155.95,4189.45,4155.55,4164.9
2009-11-19,4165.45,4173.0,4090.95,4109.45
2009-11-20,4092.85,4154.55,4064.4,4147.6
2009-11-23,4166.85,4185.35,4157.0,4180.8
2009-11-24,4185.9,4196.55,4153.0,4178.9
2009-11-25,4181.4,4216.9,4177.05,4184.6
